,Estado,Fecha,pediatricos hospitalizados con covid,adultos hospitalizados con covid,hospitalizados con sospecha o confirmacion de covid,pediatricos hospitalizados en UCI con covid,adultos hospitalizados en UCI con covid,camas pediatricas UCI,camas adultos UCI,hospitales con falta de personal,muertes por covid
0,MO,2022-08-01,48.0,834.0,971.0,10.0,128.0,239.0,1686.0,6,3.0
1,MI,2022-08-01,28.0,896.0,1045.0,5.0,104.0,163.0,2326.0,29,5.0
2,GA,2022-08-01,49.0,1402.0,1730.0,10.0,178.0,395.0,2606.0,28,3.0
3,VA,2022-08-01,20.0,811.0,914.0,6.0,116.0,178.0,1907.0,9,7.0
4,NH,2022-08-01,0.0,80.0,83.0,0.0,7.0,9.0,229.0,2,0.0
5,WA,2022-08-01,22.0,728.0,833.0,5.0,82.0,118.0,1148.0,1,7.0
6,AS,2022-08-01,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0,
7,AR,2022-08-01,12.0,380.0,456.0,1.0,56.0,83.0,867.0,0,0.0
8,VI,2022-08-01,0.0,6.0,6.0,0.0,0.0,6.0,20.0,0,
9,FL,2022-08-01,105.0,4169.0,4533.0,29.0,475.0,905.0,6496.0,6,26.0
10,NY,2022-08-01,95.0,2666.0,3108.0,17.0,245.0,518.0,4535.0,2,9.0
11,SC,2022-08-01,14.0,593.0,626.0,6.0,83.0,97.0,1282.0,20,1.0
12,NJ,2022-08-01,2.0,1040.0,1111.0,4.0,83.0,133.0,2895.0,4,2.0
13,WY,2022-08-01,2.0,36.0,39.0,0.0,3.0,0.0,125.0,0,0.0
14,KY,2022-08-01,17.0,649.0,763.0,4.0,111.0,67.0,1279.0,9,5.0
15,SD,2022-08-01,4.0,69.0,83.0,0.0,12.0,23.0,237.0,1,0.0
16,TN,2022-08-01,22.0,861.0,927.0,4.0,126.0,180.0,2415.0,3,10.0
17,MN,2022-08-01,21.0,479.0,537.0,4.0,32.0,187.0,799.0,4,0.0
18,DC,2022-08-01,15.0,139.0,189.0,11.0,9.0,77.0,314.0,0,1.0
19,ME,2022-08-01,1.0,146.0,148.0,0.0,16.0,8.0,325.0,1,0.0
20,UT,2022-08-01,0.0,192.0,223.0,0.0,24.0,36.0,437.0,0,1.0
21,NE,2022-08-01,6.0,215.0,231.0,0.0,28.0,142.0,492.0,14,1.0
22,ND,2022-08-01,0.0,74.0,86.0,0.0,10.0,20.0,204.0,0,0.0
23,DE,2022-08-01,5.0,142.0,235.0,0.0,14.0,76.0,181.0,2,0.0
24,MD,2022-08-01,15.0,611.0,813.0,6.0,53.0,19.0,1238.0,3,3.0
25,PR,2022-08-01,19.0,260.0,350.0,0.0,33.0,92.0,647.0,0,0.0
26,LA,2022-08-01,19.0,635.0,527.0,5.0,102.0,114.0,1425.0,1,1.0
27,IL,2022-08-01,23.0,1204.0,1375.0,4.0,132.0,589.0,3123.0,4,6.0
28,VT,2022-08-01,3.0,28.0,29.0,0.0,4.0,4.0,100.0,3,0.0
29,WI,2022-08-01,5.0,546.0,580.0,1.0,84.0,123.0,1250.0,20,0.0
30,CA,2022-08-01,129.0,4587.0,5001.0,36.0,509.0,955.0,6596.0,6,19.0
31,AZ,2022-08-01,21.0,589.0,711.0,11.0,66.0,241.0,1630.0,0,2.0
32,OK,2022-08-01,37.0,391.0,456.0,2.0,76.0,136.0,973.0,4,1.0
33,OR,2022-08-01,12.0,456.0,533.0,2.0,64.0,21.0,694.0,2,7.0
34,MT,2022-08-01,1.0,94.0,95.0,0.0,9.0,28.0,221.0,4,2.0
35,MA,2022-08-01,9.0,536.0,604.0,6.0,46.0,166.0,1187.0,0,0.0
36,OH,2022-08-01,56.0,1244.0,1532.0,12.0,145.0,487.0,3668.0,3,2.0
37,NM,2022-08-01,7.0,197.0,223.0,0.0,19.0,49.0,388.0,2,0.0
38,IN,2022-08-01,14.0,686.0,790.0,13.0,101.0,197.0,2015.0,10,6.0
39,HI,2022-08-01,5.0,136.0,148.0,1.0,7.0,27.0,206.0,3,0.0
40,RI,2022-08-01,0.0,55.0,70.0,0.0,3.0,91.0,141.0,1,0.0
41,WV,2022-08-01,11.0,385.0,401.0,8.0,49.0,117.0,635.0,0,0.0
42,NC,2022-08-01,25.0,1383.0,1737.0,13.0,167.0,424.0,2186.0,20,15.0
43,TX,2022-08-01,194.0,3434.0,4016.0,44.0,525.0,1065.0,5922.0,6,34.0
44,CO,2022-08-01,17.0,255.0,310.0,5.0,49.0,122.0,1238.0,14,1.0
45,IA,2022-08-01,9.0,261.0,276.0,3.0,37.0,77.0,559.0,0,1.0
46,MS,2022-08-01,8.0,398.0,430.0,1.0,66.0,62.0,732.0,2,3.0
47,PA,2022-08-01,48.0,1250.0,1587.0,6.0,140.0,401.0,3460.0,36,11.0
